132, 9.668852, -7.510029, -0.252827;
133, 9.806902, -7.536804, -0.218385;
134, 9.937430, -7.565458, -0.207044;
135, 10.069313, -7.600404, -0.196536;
136, 10.165203, -7.620815, -0.186503;
137, 10.332604, -7.660058, -0.172174;
138, 10.448851, -7.677080, -0.161105;
139, 10.517970, -7.684174, -0.150601;
140, 10.641794, -7.707773, -0.166998;
141, 10.825461, -7.764485, -0.244595;
142, 10.928936, -7.786051, -0.228946;
143, 11.042681, -7.791518, -0.182338;
144, 11.166954, -7.812797, -0.181870;
145, 11.272478, -7.871540, -0.298195;
146, 11.372808, -7.903695, -0.302832;
147, 11.499909, -7.925136, -0.270060;
148, 11.602064, -7.953020, -0.268448;
149, 11.769915, -8.014646, -0.286685;
150, 11.871750, -8.042820, -0.276101;
151, 11.993588, -8.083493, -0.274557;
152, 12.115778, -8.115667, -0.265430;
153, 12.263992, -8.162432, -0.274140;
154, 12.383978, -8.200827, -0.287425;
155, 12.518965, -8.240056, -0.278915;
156, 12.652044, -8.279311, -0.275441;
157, 12.791097, -8.318905, -0.269971;
158, 12.885760, -8.345835, -0.269356;
159, 12.973137, -8.371002, -0.261122;
160, 13.089407, -8.396800, -0.231603;
161, 13.141233, -8.413029, -0.227339;
162, 13.262912, -8.440705, -0.223885;
163, 13.411325, -8.490167, -0.248819;
164, 13.520499, -8.524938, -0.285929;
165, 13.703741, -8.583100, -0.260186;
166, 13.813928, -8.603164, -0.251295;
167, 13.929589, -8.623139, -0.244663;
168, 14.032793, -8.647572, -0.235617;
169, 14.165577, -8.683309, -0.239162;
170, 14.272774, -8.713883, -0.230622;
171, 14.362815, -8.739274, -0.221842;
172, 14.500227, -8.771435, -0.211833;
173, 14.638631, -8.802128, -0.201738;
174, 14.772721, -8.829113, -0.193452;
175, 14.896428, -8.857499, -0.210172;
176, 14.992231, -8.874243, -0.192091;
177, 15.118014, -8.893130, -0.173609;
178, 15.224405, -8.910172, -0.164331;
179, 15.325627, -8.931469, -0.190240;
180, 15.451165, -8.960424, -0.203361;
181, 15.559842, -8.981346, -0.191486;
182, 15.604930, -8.985457, -0.184294;
183, 15.702819, -8.999309, -0.175501;
184, 15.827699, -9.029165, -0.166751;
185, 15.942327, -9.052145, -0.159923;
186, 16.076782, -9.075212, -0.155417;
187, 16.186885, -9.092544, -0.147454;
188, 16.306507, -9.113244, -0.129148;
189, 16.423299, -9.130501, -0.139586;
190, 16.549204, -9.166161, -0.196001;
191, 16.641640, -9.192555, -0.237188;
192, 16.764640, -9.209381, -0.226594;
193, 16.891510, -9.232883, -0.215414;
194, 17.008277, -9.270626, -0.253718;
195, 17.120579, -9.314574, -0.333381;
196, 17.242796, -9.338697, -0.355944;
197, 17.337413, -9.375994, -0.369534;
198, 17.430014, -9.419394, -0.407641;
199, 17.529191, -9.471013, -0.457038;
200, 17.633745, -9.520401, -0.513196;
201, 17.720694, -9.583079, -0.585902;
202, 17.829951, -9.606169, -0.667820;
203, 17.909909, -9.690694, -0.759272;
204, 17.994171, -9.801102, -0.857062;
205, 18.052296, -9.895444, -0.955240;
206, 18.106600, -10.009240, -1.023224;
207, 18.143553, -10.099842, -1.120999;
208, 18.186418, -10.198903, -1.229434;
209, 18.207601, -10.309520, -1.326190;
210, 18.234800, -10.406578, -1.389000;
211, 18.256326, -10.529659, -1.393626;
212, 18.282600, -10.626159, -1.421613;
213, 18.297346, -10.746829, -1.439162;
214, 18.288576, -10.882204, -1.510345;
215, 18.279752, -10.983234, -1.600386;
216, 18.311444, -11.103266, -1.678866;
