[0m[ INFO] [1340020673.752452552]: loading parameters...[0m
[0m[ INFO] [1340020673.823811346]: creating SLAM object...[0m
[0m[ INFO] [1340020673.824576993]: initializing...[0m
[0m[ INFO] [1340020673.824829829]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020674.018814110, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340020674.020724032, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020677.649475923, 1339759400.401065343]: ...[0m
[0m[ INFO] [1340020677.651181214, 1339759400.401065343]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020677.743227518, 1339759400.496109254]: ...[0m
[0m[ INFO] [1340020677.743527010, 1339759400.496109254]: done[0m
[0m[ INFO] [1340020677.743556600, 1339759400.496109254]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340020677.743588639, 1339759400.496109254]: ...[0m
[0m[ INFO] [1340020677.743667782, 1339759400.496109254]: done[0m
[0m[ INFO] [1340020677.743724376, 1339759400.496109254]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340020677.743729843, 1339759400.496109254]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340020677.743731658, 1339759400.496109254]: subscribing to 1 sources...[0m
[0m[ INFO] [1340020677.743733048, 1339759400.496109254]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340020677.748928905, 1339759400.506234103]: advertising topics...[0m
140,0.228041,0.228041,0.228041
141,0.229447,0.229447,0.229447
142,0.230636,0.230636,0.230636
143,0.233967,0.233967,0.233967
144,0.236353,0.236353,0.236353
145,0.239166,0.239166,0.239166
146,0.242000,0.242000,0.242000
147,0.244355,0.244355,0.244355
148,0.247328,0.247328,0.247328
149,0.249033,0.249033,0.249033
150,0.250713,0.250713,0.250713
151,0.251858,0.251858,0.251858
152,0.255409,0.255409,0.255409
153,0.256911,0.256911,0.256911
154,0.260009,0.260009,0.260009
155,0.261207,0.261207,0.261207
156,0.264239,0.264239,0.264239
157,0.265641,0.265641,0.265641
158,0.268669,0.268669,0.268669
159,0.270460,0.270460,0.270460
160,0.272216,0.272216,0.272216
161,0.275602,0.275602,0.275602
162,0.277270,0.277270,0.277270
163,0.278874,0.278874,0.278874
164,0.282123,0.282123,0.282123
165,0.285109,0.285109,0.285109
166,0.287282,0.287282,0.287282
167,0.290122,0.290122,0.290122
168,0.293116,0.293116,0.293116
169,0.296094,0.296094,0.296094
170,0.298691,0.298691,0.298691
171,0.301918,0.301918,0.301918
172,0.305007,0.305007,0.305007
173,0.307991,0.307991,0.307991
174,0.311141,0.311141,0.311141
175,0.314666,0.314666,0.314666
176,0.317382,0.317382,0.317382
177,0.318829,0.318829,0.318829
178,0.320942,0.320942,0.320942
179,0.323417,0.323417,0.323417
180,0.325472,0.325472,0.325472
181,0.328102,0.328102,0.328102
182,0.330454,0.330454,0.330454
183,0.332301,0.332301,0.332301
184,0.334624,0.334624,0.334624
185,0.336417,0.336417,0.336417
186,0.337980,0.337980,0.337980
187,0.339638,0.339638,0.339638
188,0.341728,0.341728,0.341728
189,0.343622,0.343622,0.343622
190,0.345872,0.345872,0.345872
191,0.348507,0.348507,0.348507
192,0.350913,0.350913,0.350913
193,0.353096,0.353096,0.353096
194,0.356396,0.356396,0.356396
195,0.357968,0.357968,0.357968
196,0.361288,0.361288,0.361288
197,0.363739,0.363739,0.363739
198,0.366084,0.366084,0.366084
199,0.369448,0.369448,0.369448
200,0.371961,0.371961,0.371961
201,0.374314,0.374314,0.374314
202,0.375748,0.375748,0.375748
203,0.378060,0.378060,0.378060
204,0.379162,0.379162,0.379162
205,0.379732,0.379732,0.379732
206,0.380363,0.380363,0.380363
207,0.380889,0.380889,0.380889
208,0.380962,0.380962,0.380962
209,0.381086,0.381086,0.381086
210,0.381188,0.381188,0.381188
211,0.381236,0.381236,0.381236
212,0.381706,0.381706,0.381706
213,0.382525,0.382525,0.382525
214,0.383851,0.383851,0.383851
215,0.385269,0.385269,0.385269
216,0.387622,0.387622,0.387622
217,0.390069,0.390069,0.390069
218,0.392489,0.392489,0.392489
219,0.394919,0.394919,0.394919
220,0.396683,0.396683,0.396683
221,0.399386,0.399386,0.399386
222,0.401971,0.401971,0.401971
223,0.403959,0.403959,0.403959
224,0.406511,0.406511,0.406511
225,0.408568,0.408568,0.408568
226,0.411193,0.411193,0.411193
227,0.413732,0.413732,0.413732
228,0.416876,0.416876,0.416876
229,0.419440,0.419440,0.419440
230,0.422446,0.422446,0.422446
231,0.424552,0.424552,0.424552
232,0.427604,0.427604,0.427604
233,0.429958,0.429958,0.429958
234,0.432370,0.432370,0.432370
235,0.435031,0.435031,0.435031
236,0.436960,0.436960,0.436960
237,0.439116,0.439116,0.439116
238,0.441259,0.441259,0.441259
239,0.442550,0.442550,0.442550
240,0.444591,0.444591,0.444591
241,0.446837,0.446837,0.446837
242,0.448710,0.448710,0.448710
243,0.449808,0.449808,0.449808
244,0.451691,0.451691,0.451691
245,0.452796,0.452796,0.452796
246,0.453882,0.453882,0.453882
247,0.455137,0.455137,0.455137
248,0.456849,0.456849,0.456849
249,0.458830,0.458830,0.458830
250,0.460084,0.460084,0.460084
251,0.461368,0.461368,0.461368
252,0.461955,0.461955,0.461955
253,0.463373,0.463373,0.463373
254,0.464588,0.464588,0.464588
255,0.465225,0.465225,0.465225
256,0.466587,0.466587,0.466587
257,0.468500,0.468500,0.468500
258,0.470272,0.470272,0.470272
259,0.471459,0.471459,0.471459
260,0.472726,0.472726,0.472726
261,0.474665,0.474665,0.474665
262,0.476405,0.476405,0.476405
263,0.477565,0.477565,0.477565
264,0.479259,0.479259,0.479259
265,0.480450,0.480450,0.480450
266,0.482559,0.482559,0.482559
267,0.484411,0.484411,0.484411
268,0.485822,0.485822,0.485822
269,0.487714,0.487714,0.487714
270,0.488903,0.488903,0.488903
271,0.490789,0.490789,0.490789
272,0.492440,0.492440,0.492440
273,0.494763,0.494763,0.494763
274,0.496700,0.496700,0.496700
275,0.499315,0.499315,0.499315
276,0.500689,0.500689,0.500689
277,0.502133,0.502133,0.502133
278,0.504854,0.504854,0.504854
279,0.505738,0.505738,0.505738
280,0.508086,0.508086,0.508086
281,0.510184,0.510184,0.510184
282,0.512261,0.512261,0.512261
283,0.515011,0.515011,0.515011
284,0.517061,0.517061,0.517061
285,0.519750,0.519750,0.519750
286,0.522663,0.522663,0.522663
287,0.524890,0.524890,0.524890
288,0.527106,0.527106,0.527106
