[0m[ INFO] [1340027441.927965909]: loading parameters...[0m
[0m[ INFO] [1340027441.986326822]: creating SLAM object...[0m
[0m[ INFO] [1340027441.986763323]: initializing...[0m
[0m[ INFO] [1340027441.987001290]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027442.128931117, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340027442.130465741, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.122123022, 1339759400.402748933]: ...[0m
[0m[ INFO] [1340027464.122354412, 1339759400.402748933]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.225220903, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227333253, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227361398, 1339759400.500761904]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340027464.227396298, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227432942, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227596074, 1339759400.511073192]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340027464.227628581, 1339759400.511073192]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340027464.227656458, 1339759400.511073192]: subscribing to 1 sources...[0m
[0m[ INFO] [1340027464.227786928, 1339759400.511073192]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340027464.231335981, 1339759400.511073192]: advertising topics...[0m
140,0.212016,0.212016,0.212016
141,0.215253,0.215253,0.215253
142,0.216525,0.216525,0.216525
143,0.217731,0.217731,0.217731
144,0.218879,0.218879,0.218879
145,0.220076,0.220076,0.220076
146,0.221503,0.221503,0.221503
147,0.224474,0.224474,0.224474
148,0.225988,0.225988,0.225988
149,0.227421,0.227421,0.227421
150,0.228821,0.228821,0.228821
151,0.230058,0.230058,0.230058
152,0.233393,0.233393,0.233393
153,0.234743,0.234743,0.234743
154,0.237052,0.237052,0.237052
155,0.238548,0.238548,0.238548
156,0.241472,0.241472,0.241472
157,0.242860,0.242860,0.242860
158,0.243885,0.243885,0.243885
159,0.245155,0.245155,0.245155
160,0.246791,0.246791,0.246791
161,0.248567,0.248567,0.248567
162,0.251512,0.251512,0.251512
163,0.252721,0.252721,0.252721
164,0.256019,0.256019,0.256019
165,0.259178,0.259178,0.259178
166,0.262179,0.262179,0.262179
167,0.265339,0.265339,0.265339
168,0.268434,0.268434,0.268434
169,0.270236,0.270236,0.270236
170,0.273243,0.273243,0.273243
171,0.274976,0.274976,0.274976
172,0.278312,0.278312,0.278312
173,0.281611,0.281611,0.281611
174,0.284650,0.284650,0.284650
175,0.286912,0.286912,0.286912
176,0.289830,0.289830,0.289830
177,0.292890,0.292890,0.292890
178,0.295942,0.295942,0.295942
179,0.298604,0.298604,0.298604
180,0.301914,0.301914,0.301914
181,0.305076,0.305076,0.305076
182,0.306021,0.306021,0.306021
183,0.308186,0.308186,0.308186
184,0.313412,0.313412,0.313412
185,0.316212,0.316212,0.316212
186,0.319004,0.319004,0.319004
187,0.322895,0.322895,0.322895
188,0.325020,0.325020,0.325020
189,0.327721,0.327721,0.327721
190,0.330139,0.330139,0.330139
191,0.332040,0.332040,0.332040
192,0.335864,0.335864,0.335864
193,0.337795,0.337795,0.337795
194,0.339375,0.339375,0.339375
195,0.341188,0.341188,0.341188
196,0.343587,0.343587,0.343587
197,0.345576,0.345576,0.345576
198,0.347807,0.347807,0.347807
199,0.348607,0.348607,0.348607
200,0.351320,0.351320,0.351320
201,0.353605,0.353605,0.353605
202,0.356405,0.356405,0.356405
203,0.359030,0.359030,0.359030
204,0.360729,0.360729,0.360729
205,0.363495,0.363495,0.363495
206,0.364581,0.364581,0.364581
207,0.368068,0.368068,0.368068
208,0.370543,0.370543,0.370543
209,0.374024,0.374024,0.374024
210,0.375567,0.375567,0.375567
211,0.377346,0.377346,0.377346
212,0.378701,0.378701,0.378701
213,0.379638,0.379638,0.379638
214,0.380364,0.380364,0.380364
215,0.381120,0.381120,0.381120
216,0.381656,0.381656,0.381656
217,0.381731,0.381731,0.381731
218,0.381846,0.381846,0.381846
219,0.381861,0.381861,0.381861
220,0.381904,0.381904,0.381904
221,0.382045,0.382045,0.382045
222,0.383129,0.383129,0.383129
223,0.384433,0.384433,0.384433
